Property Type,Listing Status,Building Size(sq. m),Year Built,Bedrooms,Bathrooms,Num Floors,City,State,ZIP Code,USD Price
House,Active,124.03,2014.0,3.0,2.0,0.0,De Smet,North Dakota,57231.0,"525,000"
House,Pending,128.58,1955.0,3.0,2.0,0.0,Hancock,North Dakota,56244.0,"249,000"
House,Active,142.88,2022.0,2.0,2.0,0.0,Bemidji,North Dakota,56601.0,"385,900"
House,Active,335.47,2023.0,5.0,4.0,1.5,Piedmont,North Dakota,57769.0,"1,299,000"
Townhouse,Active,118.92,2023.0,2.0,2.0,0.0,Bemidji,North Dakota,56601.0,"345,000"
Townhouse,Active,132.39,2021.0,2.0,2.0,0.0,Bemidji,North Dakota,56601.0,"319,500"
House,Active,118.92,2024.0,3.0,2.0,0.0,Spearfish,North Dakota,57783.0,"950,000"
House,Active,197.7,2002.0,4.0,2.0,0.0,Spearfish,North Dakota,57783.0,"525,000"
House,Active,349.32,2006.0,4.0,4.0,0.0,Alexandria,North Dakota,56308.0,"989,000"
House,Active,204.39,2003.0,3.0,2.0,0.0,Park Rapids,North Dakota,56470.0,"1,199,000"
House,Active,297.29,1998.0,5.0,5.0,1.0,Lake Preston,North Dakota,57249.0,"1,150,000"
House,Active,167.23,2024.0,3.0,2.0,0.0,,North Dakota,,"549,000"
Townhouse,Active,221.48,1995.0,2.0,2.0,0.0,Bemidji,North Dakota,56601.0,"299,000"
House,Active,141.4,2023.0,3.0,2.0,0.0,Spearfish,North Dakota,57783.0,"490,000"
House,Pending,186.18,2003.0,3.0,3.0,0.0,Park Rapids,North Dakota,56470.0,"825,000"
House,Active,135.64,2002.0,2.0,2.0,0.0,Wadena,North Dakota,56482.0,"289,900"
House,Active,265.7,2023.0,5.0,3.0,3.0,Spearfish,North Dakota,57783.0,"599,000"
House,Active,108.42,2023.0,2.0,2.0,0.0,Spearfish,North Dakota,57783.0,"407,000"
House,Active,295.8,2020.0,5.0,3.0,0.0,Spearfish,North Dakota,57783.0,"689,000"
House,Active,220.74,2010.0,4.0,3.0,0.0,Spearfish,North Dakota,57783.0,"524,000"
House,Active,249.35,2017.0,5.0,2.0,0.0,Spearfish,North Dakota,57783.0,"509,000"
House,Active,260.13,1996.0,3.0,2.0,0.0,Spearfish,North Dakota,57783.0,"699,000"
House,Pending,197.88,2014.0,4.0,3.0,0.0,Box Elder,North Dakota,57719.0,"365,000"
House,Active,197.88,2013.0,4.0,3.0,0.0,Box Elder,North Dakota,57719.0,"389,900"
House,Active,290.79,2004.0,5.0,3.0,0.0,Spearfish,North Dakota,57783.0,"599,900"
House,Pending,80.27,1930.0,2.0,1.0,0.0,Wadena,North Dakota,56482.0,"84,900"
House,Pending,85.84,1987.0,2.0,1.0,0.0,Menahga,North Dakota,56464.0,"149,900"
House,Pending,87.61,1995.0,3.0,1.0,0.0,Wadena,North Dakota,56482.0,"169,000"
House,Active,84.36,1940.0,2.0,1.0,0.0,Wadena,North Dakota,56482.0,"92,900"
House,Active,130.81,1998.0,3.0,2.0,0.0,Park Rapids,North Dakota,56470.0,"199,500"
House,Pending,179.49,1928.0,4.0,3.0,0.0,Wadena,North Dakota,56482.0,"199,000"
House,Pending,285.4,1994.0,3.0,3.0,0.0,Lowry,North Dakota,56349.0,"489,900"
House,Active,175.59,1972.0,4.0,2.0,0.0,Alexandria,North Dakota,56308.0,"339,900"
House,Active,208.75,1974.0,6.0,2.0,0.0,Deadwood,North Dakota,57732.0,"350,000"
House,Active,127.74,1999.0,2.0,2.0,0.0,Miltona,North Dakota,56354.0,"449,900"
House,Active,148.64,1999.0,2.0,2.0,0.0,Chamberlain,North Dakota,57325.0,"590,000"
House,Active,328.88,2009.0,6.0,4.0,2.0,Spearfish,North Dakota,57783.0,"899,900"
House,Active,300.63,2006.0,5.0,3.0,0.0,Rapid City,North Dakota,57701.0,"1,480,000"
House,Active,300.63,2006.0,5.0,3.0,0.0,Rapid City,North Dakota,57701.0,"1,480,000"
House,Active,70.23,1972.0,2.0,1.0,0.0,Spearfish,North Dakota,57783.0,"65,000"
House,Active,70.23,1972.0,2.0,1.0,0.0,Spearfish,North Dakota,57783.0,"65,000"
House,Active,341.14,2003.0,5.0,3.0,0.0,Spearfish,North Dakota,57783.0,"1,037,000"
House,Active,156.82,2024.0,3.0,1.0,0.0,Box Elder,North Dakota,57719.0,"309,900"
House,Active,178.37,2024.0,3.0,2.0,0.0,Box Elder,North Dakota,57719.0,"349,900"
House,Active,270.16,2010.0,4.0,3.0,0.0,Alexandria,North Dakota,56308.0,"519,900"
House,Active,121.98,2024.0,3.0,2.0,0.0,Box Elder,North Dakota,57719.0,"359,900"
House,Pending,96.62,,3.0,2.0,0.0,SEBEKA,North Dakota,56477.0,"254,900"
House,Pending,106.65,1960.0,3.0,1.0,0.0,Wadena,North Dakota,56482.0,"137,500"
House,Active,89.0,1900.0,4.0,1.0,0.0,Bemidji,North Dakota,56601.0,"129,900"
House,Active,369.75,2017.0,5.0,3.0,0.0,,North Dakota,,"899,000"
House,Active,44.5,1947.0,1.0,1.0,0.0,Wadena,North Dakota,56482.0,"85,000"
House,Active,120.4,2002.0,2.0,2.0,0.0,Spearfish,North Dakota,57783.0,"365,000"
House,Active,,1998.0,,,0.0,Park Rapids,North Dakota,56470.0,"79,999"
House,Pending,207.36,1984.0,2.0,2.0,0.0,Park Rapids,North Dakota,56470.0,"449,000"
House,Active,98.11,2018.0,3.0,2.0,0.0,Spearfish,North Dakota,57783.0,"152,000"
House,Active,112.97,1991.0,3.0,2.0,0.0,Spearfish,North Dakota,57783.0,"137,500"
House,Active,263.84,2024.0,3.0,3.0,0.0,Spearfish,North Dakota,57783.0,"749,000"
House,Active,58.81,1950.0,2.0,1.0,0.0,Park Rapids,North Dakota,56470.0,"224,900"
House,Active,140.19,1940.0,4.0,1.0,0.0,Park Rapids,North Dakota,56470.0,"305,000"
House,Active,456.71,2002.0,5.0,4.0,0.0,Alexandria,North Dakota,56308.0,"699,900"
House,Active,385.55,2003.0,5.0,3.0,1.5,Sturgis,North Dakota,57785.0,"1,899,900"
House,Pending,90.95,1938.0,3.0,3.0,0.0,Park Rapids,North Dakota,56470.0,"629,900"
House,Active,39.21,2015.0,1.0,1.0,0.0,Alexandria,North Dakota,56308.0,"80,000"
House,Active,193.24,2000.0,3.0,3.0,0.0,Spearfish,North Dakota,57783.0,"399,900"
House,Active,285.58,2004.0,5.0,3.0,0.0,Spearfish,North Dakota,57783.0,"574,900"
House,Active,309.18,2022.0,6.0,3.0,1.0,Lake Preston,North Dakota,57249.0,"1,350,000"
House,Active,166.02,1984.0,3.0,2.0,0.0,Spearfish,North Dakota,57783.0,"399,000"
House,Active,125.14,2009.0,3.0,2.0,0.0,Miltona,North Dakota,56354.0,"449,000"
House,Active,166.48,2011.0,4.0,1.0,0.0,Spearfish,North Dakota,57783.0,"225,000"
House,Active,246.75,1977.0,4.0,3.0,0.0,Spearfish,North Dakota,57783.0,"369,000"
House,Active,171.87,1953.0,4.0,2.0,0.0,Spearfish,North Dakota,57783.0,"326,500"
House,Active,259.39,,4.0,3.0,2.0,Spearfish,North Dakota,57783.0,"658,000"
House,Active,199.37,2001.0,4.0,2.0,0.0,Alexandria,North Dakota,56308.0,"344,900"
House,Active,187.29,1958.0,4.0,2.0,0.0,Spearfish,North Dakota,57783.0,"369,000"
House,Active,106.28,1978.0,3.0,1.0,0.0,Spearfish,North Dakota,57783.0,"285,000"
House,Active,184.69,2005.0,4.0,2.0,0.0,Spearfish,North Dakota,57783.0,"405,000"
House,Active,304.81,2023.0,3.0,3.0,0.0,Piedmont,North Dakota,57769.0,"733,700"
House,Active,272.21,1999.0,,,0.0,Letcher,North Dakota,57359.0,"325,000"
Townhouse,Active,261.34,2017.0,5.0,3.0,2.0,,North Dakota,,"628,000"
House,Pending,265.7,1994.0,4.0,3.0,0.0,Alexandria,North Dakota,56308.0,"329,900"
House,Active,230.49,1895.0,5.0,5.0,2.0,Spearfish,North Dakota,57783.0,"434,900"
Townhouse,Active,230.49,1895.0,,,0.0,Spearfish,North Dakota,57785.0,"434,900"
House,Active,199.83,2020.0,4.0,2.0,0.0,Spearfish,North Dakota,57783.0,"719,000"
Townhouse,Active,324.42,2013.0,4.0,4.0,0.0,Spearfish,North Dakota,57783.0,"724,900"
House,Pending,261.06,1996.0,4.0,3.0,0.0,Alexandria,North Dakota,56308.0,"379,900"
House,Active,236.25,1992.0,4.0,3.0,0.0,Alexandria,North Dakota,56308.0,"299,000"
House,Active,372.36,2008.0,4.0,5.0,1.5,Sturgis,North Dakota,57785.0,"1,625,000"
Townhouse,Active,269.05,1987.0,4.0,3.0,0.0,Spearfish,North Dakota,57783.0,"599,500"
Townhouse,Active,105.91,2012.0,2.0,2.0,0.0,Spearfish,North Dakota,57783.0,"352,500"
